kabupaten_kota,tahun,bulan,nama_bulan,jumlah_wisatawan
Poso,2025,9,September,76010
Sigi,2025,9,September,102025
Tojo Una-una,2025,9,September,26216
Tolitoli,2025,9,September,26431
Banggai,2025,10,Oktober,47815
Banggai Kepulauan,2025,10,Oktober,15915
Banggai Laut,2025,10,Oktober,11746
Buol,2025,10,Oktober,14301
Donggala,2025,10,Oktober,94699
Kota Palu,2025,10,Oktober,300575
Morowali,2025,10,Oktober,92415
Morowali Utara,2025,10,Oktober,44587
Parigi Moutong,2025,10,Oktober,80451
Poso,2025,10,Oktober,77224
Sigi,2025,10,Oktober,106588
Tojo Una-una,2025,10,Oktober,27610
Tolitoli,2025,10,Oktober,28123
Banggai,2025,11,November,54720
Banggai Kepulauan,2025,11,November,17534
Banggai Laut,2025,11,November,18103
Buol,2025,11,November,14532
Donggala,2025,11,November,100267
Kota Palu,2025,11,November,306081
Morowali,2025,11,November,91370
Morowali Utara,2025,11,November,46235
Parigi Moutong,2025,11,November,86335
Poso,2025,11,November,72371
Sigi,2025,11,November,108333
Tojo Una-una,2025,11,November,28536
Tolitoli,2025,11,November,28082
Banggai,2025,12,Desember,65636
Banggai Kepulauan,2025,12,Desember,18460
Banggai Laut,2025,12,Desember,11505
Buol,2025,12,Desember,16979
Donggala,2025,12,Desember,116307
Kota Palu,2025,12,Desember,356009
Morowali,2025,12,Desember,109037
Morowali Utara,2025,12,Desember,55931
Parigi Moutong,2025,12,Desember,101486
Poso,2025,12,Desember,88976
Sigi,2025,12,Desember,127960
Tojo Una-una,2025,12,Desember,34287
Tolitoli,2025,12,Desember,35284
Banggai,2026,1,Januari,63744
Banggai Kepulauan,2026,1,Januari,21708
Banggai Laut,2026,1,Januari,15565
Buol,2026,1,Januari,17365
Donggala,2026,1,Januari,117983
Kota Palu,2026,1,Januari,281833
Morowali,2026,1,Januari,90161
Morowali Utara,2026,1,Januari,50986
Parigi Moutong,2026,1,Januari,101742
Poso,2026,1,Januari,92374
Sigi,2026,1,Januari,126218
Tojo Una-una,2026,1,Januari,32202
Tolitoli,2026,1,Januari,30470
Banggai,2026,2,Februari,47117
Banggai Kepulauan,2026,2,Februari,17971
Banggai Laut,2026,2,Februari,11879
Buol,2026,2,Februari,14862
Donggala,2026,2,Februari,105425
Kota Palu,2026,2,Februari,251355
Morowali,2026,2,Februari,71993
Morowali Utara,2026,2,Februari,41959
Parigi Moutong,2026,2,Februari,89872
Poso,2026,2,Februari,67234
Sigi,2026,2,Februari,109690
Tojo Una-una,2026,2,Februari,26772
Tolitoli,2026,2,Februari,24119
Banggai,2026,3,Maret,71632
Banggai Kepulauan,2026,3,Maret,26861
Banggai Laut,2026,3,Maret,17274
Buol,2026,3,Maret,23130
Donggala,2026,3,Maret,143129
Kota Palu,2026,3,Maret,293562
Morowali,2026,3,Maret,92225
Morowali Utara,2026,3,Maret,54290
Parigi Moutong,2026,3,Maret,135334
Poso,2026,3,Maret,91235
Sigi,2026,3,Maret,126028
Tojo Una-una,2026,3,Maret,43725
Tolitoli,2026,3,Maret,46205
